data_status,product_instance,stage_id,stage_name,synthetic_activity_value,activity_unit,emission_factor_gCO2e_per_unit,factor_status,co2e_kg
SYNTHETIC,171,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.64,"kg mass processed",-1170.4,CITED,-1.919
SYNTHETIC,172,1,"Aluminium casing [SYNTHETIC]",0.925,"kg aluminium",14800,CITED,13.69
SYNTHETIC,172,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.384,"kg populated board",185714,DERIVED_FROM_CITED,71.314
SYNTHETIC,172,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0523,"kWh cell capacity",74000,CITED,3.87
SYNTHETIC,172,4,"Screen (LCD module) [SYNTHETIC]",0.0623,"m2 panel area",222000,CITED,13.831
SYNTHETIC,172,5,"Assembly electricity [SYNTHETIC]",25.6,"kWh factory electricity",445,CITED,11.392
SYNTHETIC,172,6,"Packaging (cardboard) [SYNTHETIC]",0.98,"kg packaging material",1199.73,CITED,1.176
SYNTHETIC,172,7,"International shipping (sea, container) [SYNTHETIC]",61.6,"tonne-km",16.12,CITED,0.993
SYNTHETIC,172,8,"Use-phase electricity [SYNTHETIC]",217,"kWh lifetime electricity",445,CITED,96.565
SYNTHETIC,172,9,"Repair (replacement battery) [SYNTHETIC]",0.0594,"kWh replacement-battery capacity",74000,CITED,4.396
SYNTHETIC,172,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.97,"kg mass processed",-1170.4,CITED,-2.306
SYNTHETIC,173,1,"Aluminium casing [SYNTHETIC]",1.045,"kg aluminium",14800,CITED,15.466
SYNTHETIC,173,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.385,"kg populated board",185714,DERIVED_FROM_CITED,71.5
SYNTHETIC,173,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0641,"kWh cell capacity",74000,CITED,4.743
SYNTHETIC,173,4,"Screen (LCD module) [SYNTHETIC]",0.0544,"m2 panel area",222000,CITED,12.077
SYNTHETIC,173,5,"Assembly electricity [SYNTHETIC]",22.2,"kWh factory electricity",445,CITED,9.879
SYNTHETIC,173,6,"Packaging (cardboard) [SYNTHETIC]",0.81,"kg packaging material",1199.73,CITED,0.972
SYNTHETIC,173,7,"International shipping (sea, container) [SYNTHETIC]",63.8,"tonne-km",16.12,CITED,1.028
SYNTHETIC,173,8,"Use-phase electricity [SYNTHETIC]",169,"kWh lifetime electricity",445,CITED,75.205
SYNTHETIC,173,9,"Repair (replacement battery) [SYNTHETIC]",0.0578,"kWh replacement-battery capacity",74000,CITED,4.277
SYNTHETIC,173,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.09,"kg mass processed",-1170.4,CITED,-2.446
SYNTHETIC,174,1,"Aluminium casing [SYNTHETIC]",1.212,"kg aluminium",14800,CITED,17.938
SYNTHETIC,174,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.411,"kg populated board",185714,DERIVED_FROM_CITED,76.328
SYNTHETIC,174,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0537,"kWh cell capacity",74000,CITED,3.974
SYNTHETIC,174,4,"Screen (LCD module) [SYNTHETIC]",0.0665,"m2 panel area",222000,CITED,14.763
SYNTHETIC,174,5,"Assembly electricity [SYNTHETIC]",28.7,"kWh factory electricity",445,CITED,12.771
SYNTHETIC,174,6,"Packaging (cardboard) [SYNTHETIC]",0.87,"kg packaging material",1199.73,CITED,1.044
SYNTHETIC,174,7,"International shipping (sea, container) [SYNTHETIC]",55.7,"tonne-km",16.12,CITED,0.898
SYNTHETIC,174,8,"Use-phase electricity [SYNTHETIC]",130,"kWh lifetime electricity",445,CITED,57.85
SYNTHETIC,174,9,"Repair (replacement battery) [SYNTHETIC]",0.0524,"kWh replacement-battery capacity",74000,CITED,3.878
SYNTHETIC,174,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.64,"kg mass processed",-1170.4,CITED,-1.919
SYNTHETIC,175,1,"Aluminium casing [SYNTHETIC]",1.072,"kg aluminium",14800,CITED,15.866
SYNTHETIC,175,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.29,"kg populated board",185714,DERIVED_FROM_CITED,53.857
SYNTHETIC,175,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.056,"kWh cell capacity",74000,CITED,4.144
SYNTHETIC,175,4,"Screen (LCD module) [SYNTHETIC]",0.0506,"m2 panel area",222000,CITED,11.233
SYNTHETIC,175,5,"Assembly electricity [SYNTHETIC]",18.9,"kWh factory electricity",445,CITED,8.411
SYNTHETIC,175,6,"Packaging (cardboard) [SYNTHETIC]",0.95,"kg packaging material",1199.73,CITED,1.14
SYNTHETIC,175,7,"International shipping (sea, container) [SYNTHETIC]",64.8,"tonne-km",16.12,CITED,1.045
SYNTHETIC,175,8,"Use-phase electricity [SYNTHETIC]",177,"kWh lifetime electricity",445,CITED,78.765
SYNTHETIC,175,9,"Repair (replacement battery) [SYNTHETIC]",0.0759,"kWh replacement-battery capacity",74000,CITED,5.617
SYNTHETIC,175,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.87,"kg mass processed",-1170.4,CITED,-2.189
SYNTHETIC,176,1,"Aluminium casing [SYNTHETIC]",1.312,"kg aluminium",14800,CITED,19.418
SYNTHETIC,176,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.312,"kg populated board",185714,DERIVED_FROM_CITED,57.943
SYNTHETIC,176,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0602,"kWh cell capacity",74000,CITED,4.455
SYNTHETIC,176,4,"Screen (LCD module) [SYNTHETIC]",0.0506,"m2 panel area",222000,CITED,11.233
SYNTHETIC,176,5,"Assembly electricity [SYNTHETIC]",18.3,"kWh factory electricity",445,CITED,8.143
SYNTHETIC,176,6,"Packaging (cardboard) [SYNTHETIC]",0.7,"kg packaging material",1199.73,CITED,0.84
SYNTHETIC,176,7,"International shipping (sea, container) [SYNTHETIC]",59.2,"tonne-km",16.12,CITED,0.954
SYNTHETIC,176,8,"Use-phase electricity [SYNTHETIC]",148,"kWh lifetime electricity",445,CITED,65.86
SYNTHETIC,176,9,"Repair (replacement battery) [SYNTHETIC]",0.0618,"kWh replacement-battery capacity",74000,CITED,4.573
SYNTHETIC,176,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.72,"kg mass processed",-1170.4,CITED,-2.013
SYNTHETIC,177,1,"Aluminium casing [SYNTHETIC]",1.363,"kg aluminium",14800,CITED,20.172
SYNTHETIC,177,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.399,"kg populated board",185714,DERIVED_FROM_CITED,74.1
SYNTHETIC,177,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0617,"kWh cell capacity",74000,CITED,4.566
SYNTHETIC,177,4,"Screen (LCD module) [SYNTHETIC]",0.0626,"m2 panel area",222000,CITED,13.897
SYNTHETIC,177,5,"Assembly electricity [SYNTHETIC]",28.7,"kWh factory electricity",445,CITED,12.771
SYNTHETIC,177,6,"Packaging (cardboard) [SYNTHETIC]",0.98,"kg packaging material",1199.73,CITED,1.176
SYNTHETIC,177,7,"International shipping (sea, container) [SYNTHETIC]",54.7,"tonne-km",16.12,CITED,0.882
SYNTHETIC,177,8,"Use-phase electricity [SYNTHETIC]",198,"kWh lifetime electricity",445,CITED,88.11
SYNTHETIC,177,9,"Repair (replacement battery) [SYNTHETIC]",0.0568,"kWh replacement-battery capacity",74000,CITED,4.203
SYNTHETIC,177,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.15,"kg mass processed",-1170.4,CITED,-2.516
SYNTHETIC,178,1,"Aluminium casing [SYNTHETIC]",1.426,"kg aluminium",14800,CITED,21.105
SYNTHETIC,178,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.365,"kg populated board",185714,DERIVED_FROM_CITED,67.786
SYNTHETIC,178,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0606,"kWh cell capacity",74000,CITED,4.484
SYNTHETIC,178,4,"Screen (LCD module) [SYNTHETIC]",0.0577,"m2 panel area",222000,CITED,12.809
SYNTHETIC,178,5,"Assembly electricity [SYNTHETIC]",30.3,"kWh factory electricity",445,CITED,13.483
SYNTHETIC,178,6,"Packaging (cardboard) [SYNTHETIC]",1.01,"kg packaging material",1199.73,CITED,1.212
SYNTHETIC,178,7,"International shipping (sea, container) [SYNTHETIC]",66.7,"tonne-km",16.12,CITED,1.075
SYNTHETIC,178,8,"Use-phase electricity [SYNTHETIC]",205,"kWh lifetime electricity",445,CITED,91.225
SYNTHETIC,178,9,"Repair (replacement battery) [SYNTHETIC]",0.0519,"kWh replacement-battery capacity",74000,CITED,3.841
SYNTHETIC,178,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.78,"kg mass processed",-1170.4,CITED,-2.083
SYNTHETIC,179,1,"Aluminium casing [SYNTHETIC]",1.141,"kg aluminium",14800,CITED,16.887
SYNTHETIC,179,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.352,"kg populated board",185714,DERIVED_FROM_CITED,65.371
SYNTHETIC,179,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0524,"kWh cell capacity",74000,CITED,3.878
SYNTHETIC,179,4,"Screen (LCD module) [SYNTHETIC]",0.0675,"m2 panel area",222000,CITED,14.985
SYNTHETIC,179,5,"Assembly electricity [SYNTHETIC]",30,"kWh factory electricity",445,CITED,13.35
SYNTHETIC,179,6,"Packaging (cardboard) [SYNTHETIC]",0.59,"kg packaging material",1199.73,CITED,0.708
SYNTHETIC,179,7,"International shipping (sea, container) [SYNTHETIC]",75.2,"tonne-km",16.12,CITED,1.212
SYNTHETIC,179,8,"Use-phase electricity [SYNTHETIC]",117,"kWh lifetime electricity",445,CITED,52.065
SYNTHETIC,179,9,"Repair (replacement battery) [SYNTHETIC]",0.0522,"kWh replacement-battery capacity",74000,CITED,3.863
SYNTHETIC,179,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.16,"kg mass processed",-1170.4,CITED,-2.528
SYNTHETIC,180,1,"Aluminium casing [SYNTHETIC]",1.122,"kg aluminium",14800,CITED,16.606
SYNTHETIC,180,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.306,"kg populated board",185714,DERIVED_FROM_CITED,56.828
SYNTHETIC,180,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0604,"kWh cell capacity",74000,CITED,4.47
SYNTHETIC,180,4,"Screen (LCD module) [SYNTHETIC]",0.0556,"m2 panel area",222000,CITED,12.343
SYNTHETIC,180,5,"Assembly electricity [SYNTHETIC]",25.3,"kWh factory electricity",445,CITED,11.258
SYNTHETIC,180,6,"Packaging (cardboard) [SYNTHETIC]",1.02,"kg packaging material",1199.73,CITED,1.224
SYNTHETIC,180,7,"International shipping (sea, container) [SYNTHETIC]",72.2,"tonne-km",16.12,CITED,1.164
SYNTHETIC,180,8,"Use-phase electricity [SYNTHETIC]",197,"kWh lifetime electricity",445,CITED,87.665
SYNTHETIC,180,9,"Repair (replacement battery) [SYNTHETIC]",0.0544,"kWh replacement-battery capacity",74000,CITED,4.026
SYNTHETIC,180,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.03,"kg mass processed",-1170.4,CITED,-2.376
SYNTHETIC,181,1,"Aluminium casing [SYNTHETIC]",1.186,"kg aluminium",14800,CITED,17.553
SYNTHETIC,181,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.298,"kg populated board",185714,DERIVED_FROM_CITED,55.343
SYNTHETIC,181,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0515,"kWh cell capacity",74000,CITED,3.811
SYNTHETIC,181,4,"Screen (LCD module) [SYNTHETIC]",0.0549,"m2 panel area",222000,CITED,12.188
SYNTHETIC,181,5,"Assembly electricity [SYNTHETIC]",19.1,"kWh factory electricity",445,CITED,8.499
SYNTHETIC,181,6,"Packaging (cardboard) [SYNTHETIC]",0.98,"kg packaging material",1199.73,CITED,1.176
SYNTHETIC,181,7,"International shipping (sea, container) [SYNTHETIC]",69,"tonne-km",16.12,CITED,1.112
SYNTHETIC,181,8,"Use-phase electricity [SYNTHETIC]",175,"kWh lifetime electricity",445,CITED,77.875
SYNTHETIC,181,9,"Repair (replacement battery) [SYNTHETIC]",0.0704,"kWh replacement-battery capacity",74000,CITED,5.21
SYNTHETIC,181,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.3,"kg mass processed",-1170.4,CITED,-2.692
SYNTHETIC,182,1,"Aluminium casing [SYNTHETIC]",1.212,"kg aluminium",14800,CITED,17.938
SYNTHETIC,182,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.319,"kg populated board",185714,DERIVED_FROM_CITED,59.243
SYNTHETIC,182,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0557,"kWh cell capacity",74000,CITED,4.122
SYNTHETIC,182,4,"Screen (LCD module) [SYNTHETIC]",0.0601,"m2 panel area",222000,CITED,13.342
SYNTHETIC,182,5,"Assembly electricity [SYNTHETIC]",25.4,"kWh factory electricity",445,CITED,11.303
SYNTHETIC,182,6,"Packaging (cardboard) [SYNTHETIC]",0.68,"kg packaging material",1199.73,CITED,0.816
SYNTHETIC,182,7,"International shipping (sea, container) [SYNTHETIC]",70.7,"tonne-km",16.12,CITED,1.14
SYNTHETIC,182,8,"Use-phase electricity [SYNTHETIC]",217,"kWh lifetime electricity",445,CITED,96.565
SYNTHETIC,182,9,"Repair (replacement battery) [SYNTHETIC]",0.0644,"kWh replacement-battery capacity",74000,CITED,4.766
SYNTHETIC,182,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.08,"kg mass processed",-1170.4,CITED,-2.434
SYNTHETIC,183,1,"Aluminium casing [SYNTHETIC]",1.273,"kg aluminium",14800,CITED,18.84
SYNTHETIC,183,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.373,"kg populated board",185714,DERIVED_FROM_CITED,69.271
SYNTHETIC,183,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0635,"kWh cell capacity",74000,CITED,4.699
SYNTHETIC,183,4,"Screen (LCD module) [SYNTHETIC]",0.056,"m2 panel area",222000,CITED,12.432
SYNTHETIC,183,5,"Assembly electricity [SYNTHETIC]",23.9,"kWh factory electricity",445,CITED,10.636
SYNTHETIC,183,6,"Packaging (cardboard) [SYNTHETIC]",0.88,"kg packaging material",1199.73,CITED,1.056
SYNTHETIC,183,7,"International shipping (sea, container) [SYNTHETIC]",71.5,"tonne-km",16.12,CITED,1.153
SYNTHETIC,183,8,"Use-phase electricity [SYNTHETIC]",211,"kWh lifetime electricity",445,CITED,93.895
SYNTHETIC,183,9,"Repair (replacement battery) [SYNTHETIC]",0.0488,"kWh replacement-battery capacity",74000,CITED,3.611
SYNTHETIC,183,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.08,"kg mass processed",-1170.4,CITED,-2.434
SYNTHETIC,184,1,"Aluminium casing [SYNTHETIC]",1.147,"kg aluminium",14800,CITED,16.976
SYNTHETIC,184,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.362,"kg populated board",185714,DERIVED_FROM_CITED,67.228
SYNTHETIC,184,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0671,"kWh cell capacity",74000,CITED,4.965
SYNTHETIC,184,4,"Screen (LCD module) [SYNTHETIC]",0.0527,"m2 panel area",222000,CITED,11.699
SYNTHETIC,184,5,"Assembly electricity [SYNTHETIC]",26.9,"kWh factory electricity",445,CITED,11.97
SYNTHETIC,184,6,"Packaging (cardboard) [SYNTHETIC]",0.76,"kg packaging material",1199.73,CITED,0.912
SYNTHETIC,184,7,"International shipping (sea, container) [SYNTHETIC]",50.9,"tonne-km",16.12,CITED,0.821
SYNTHETIC,184,8,"Use-phase electricity [SYNTHETIC]",136,"kWh lifetime electricity",445,CITED,60.52
SYNTHETIC,184,9,"Repair (replacement battery) [SYNTHETIC]",0.0603,"kWh replacement-battery capacity",74000,CITED,4.462
SYNTHETIC,184,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2,"kg mass processed",-1170.4,CITED,-2.341
SYNTHETIC,185,1,"Aluminium casing [SYNTHETIC]",1.013,"kg aluminium",14800,CITED,14.992
SYNTHETIC,185,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.403,"kg populated board",185714,DERIVED_FROM_CITED,74.843
SYNTHETIC,185,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0576,"kWh cell capacity",74000,CITED,4.262
SYNTHETIC,185,4,"Screen (LCD module) [SYNTHETIC]",0.0573,"m2 panel area",222000,CITED,12.721
SYNTHETIC,185,5,"Assembly electricity [SYNTHETIC]",17.9,"kWh factory electricity",445,CITED,7.965
SYNTHETIC,185,6,"Packaging (cardboard) [SYNTHETIC]",0.98,"kg packaging material",1199.73,CITED,1.176
SYNTHETIC,185,7,"International shipping (sea, container) [SYNTHETIC]",68,"tonne-km",16.12,CITED,1.096
SYNTHETIC,185,8,"Use-phase electricity [SYNTHETIC]",180,"kWh lifetime electricity",445,CITED,80.1
SYNTHETIC,185,9,"Repair (replacement battery) [SYNTHETIC]",0.0562,"kWh replacement-battery capacity",74000,CITED,4.159
SYNTHETIC,185,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.47,"kg mass processed",-1170.4,CITED,-2.891
SYNTHETIC,186,1,"Aluminium casing [SYNTHETIC]",1.18,"kg aluminium",14800,CITED,17.464
SYNTHETIC,186,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.257,"kg populated board",185714,DERIVED_FROM_CITED,47.728
SYNTHETIC,186,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0474,"kWh cell capacity",74000,CITED,3.508
SYNTHETIC,186,4,"Screen (LCD module) [SYNTHETIC]",0.0629,"m2 panel area",222000,CITED,13.964
SYNTHETIC,186,5,"Assembly electricity [SYNTHETIC]",27,"kWh factory electricity",445,CITED,12.015
SYNTHETIC,186,6,"Packaging (cardboard) [SYNTHETIC]",0.76,"kg packaging material",1199.73,CITED,0.912
SYNTHETIC,186,7,"International shipping (sea, container) [SYNTHETIC]",55.3,"tonne-km",16.12,CITED,0.891
SYNTHETIC,186,8,"Use-phase electricity [SYNTHETIC]",119,"kWh lifetime electricity",445,CITED,52.955
SYNTHETIC,186,9,"Repair (replacement battery) [SYNTHETIC]",0.0595,"kWh replacement-battery capacity",74000,CITED,4.403
SYNTHETIC,186,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.06,"kg mass processed",-1170.4,CITED,-2.411
SYNTHETIC,187,1,"Aluminium casing [SYNTHETIC]",0.849,"kg aluminium",14800,CITED,12.565
SYNTHETIC,187,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.356,"kg populated board",185714,DERIVED_FROM_CITED,66.114
SYNTHETIC,187,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0694,"kWh cell capacity",74000,CITED,5.136
SYNTHETIC,187,4,"Screen (LCD module) [SYNTHETIC]",0.0585,"m2 panel area",222000,CITED,12.987
SYNTHETIC,187,5,"Assembly electricity [SYNTHETIC]",20,"kWh factory electricity",445,CITED,8.9
SYNTHETIC,187,6,"Packaging (cardboard) [SYNTHETIC]",0.97,"kg packaging material",1199.73,CITED,1.164
SYNTHETIC,187,7,"International shipping (sea, container) [SYNTHETIC]",53.9,"tonne-km",16.12,CITED,0.869
SYNTHETIC,187,8,"Use-phase electricity [SYNTHETIC]",188,"kWh lifetime electricity",445,CITED,83.66
SYNTHETIC,187,9,"Repair (replacement battery) [SYNTHETIC]",0.0542,"kWh replacement-battery capacity",74000,CITED,4.011
SYNTHETIC,187,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.91,"kg mass processed",-1170.4,CITED,-2.235
SYNTHETIC,188,1,"Aluminium casing [SYNTHETIC]",1.1,"kg aluminium",14800,CITED,16.28
SYNTHETIC,188,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.366,"kg populated board",185714,DERIVED_FROM_CITED,67.971
SYNTHETIC,188,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0721,"kWh cell capacity",74000,CITED,5.335
SYNTHETIC,188,4,"Screen (LCD module) [SYNTHETIC]",0.0631,"m2 panel area",222000,CITED,14.008
SYNTHETIC,188,5,"Assembly electricity [SYNTHETIC]",22.8,"kWh factory electricity",445,CITED,10.146
SYNTHETIC,188,6,"Packaging (cardboard) [SYNTHETIC]",0.75,"kg packaging material",1199.73,CITED,0.9
SYNTHETIC,188,7,"International shipping (sea, container) [SYNTHETIC]",68.6,"tonne-km",16.12,CITED,1.106
SYNTHETIC,188,8,"Use-phase electricity [SYNTHETIC]",237,"kWh lifetime electricity",445,CITED,105.465
SYNTHETIC,188,9,"Repair (replacement battery) [SYNTHETIC]",0.0674,"kWh replacement-battery capacity",74000,CITED,4.988
SYNTHETIC,188,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.63,"kg mass processed",-1170.4,CITED,-1.908
SYNTHETIC,189,1,"Aluminium casing [SYNTHETIC]",1.116,"kg aluminium",14800,CITED,16.517
SYNTHETIC,189,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.261,"kg populated board",185714,DERIVED_FROM_CITED,48.471
SYNTHETIC,189,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0637,"kWh cell capacity",74000,CITED,4.714
SYNTHETIC,189,4,"Screen (LCD module) [SYNTHETIC]",0.0617,"m2 panel area",222000,CITED,13.697
SYNTHETIC,189,5,"Assembly electricity [SYNTHETIC]",29,"kWh factory electricity",445,CITED,12.905
SYNTHETIC,189,6,"Packaging (cardboard) [SYNTHETIC]",1.04,"kg packaging material",1199.73,CITED,1.248
SYNTHETIC,189,7,"International shipping (sea, container) [SYNTHETIC]",47.7,"tonne-km",16.12,CITED,0.769
SYNTHETIC,189,8,"Use-phase electricity [SYNTHETIC]",140,"kWh lifetime electricity",445,CITED,62.3
SYNTHETIC,189,9,"Repair (replacement battery) [SYNTHETIC]",0.0574,"kWh replacement-battery capacity",74000,CITED,4.248
SYNTHETIC,189,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.71,"kg mass processed",-1170.4,CITED,-2.001
SYNTHETIC,190,1,"Aluminium casing [SYNTHETIC]",1.168,"kg aluminium",14800,CITED,17.286
SYNTHETIC,190,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.376,"kg populated board",185714,DERIVED_FROM_CITED,69.828
SYNTHETIC,190,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0664,"kWh cell capacity",74000,CITED,4.914
SYNTHETIC,190,4,"Screen (LCD module) [SYNTHETIC]",0.0523,"m2 panel area",222000,CITED,11.611
SYNTHETIC,190,5,"Assembly electricity [SYNTHETIC]",20,"kWh factory electricity",445,CITED,8.9
SYNTHETIC,190,6,"Packaging (cardboard) [SYNTHETIC]",0.9,"kg packaging material",1199.73,CITED,1.08
SYNTHETIC,190,7,"International shipping (sea, container) [SYNTHETIC]",64.1,"tonne-km",16.12,CITED,1.033
SYNTHETIC,190,8,"Use-phase electricity [SYNTHETIC]",132,"kWh lifetime electricity",445,CITED,58.74
SYNTHETIC,190,9,"Repair (replacement battery) [SYNTHETIC]",0.0512,"kWh replacement-battery capacity",74000,CITED,3.789
SYNTHETIC,190,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.49,"kg mass processed",-1170.4,CITED,-2.914
SYNTHETIC,191,1,"Aluminium casing [SYNTHETIC]",1.264,"kg aluminium",14800,CITED,18.707
SYNTHETIC,191,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.354,"kg populated board",185714,DERIVED_FROM_CITED,65.743
SYNTHETIC,191,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0525,"kWh cell capacity",74000,CITED,3.885
SYNTHETIC,191,4,"Screen (LCD module) [SYNTHETIC]",0.0599,"m2 panel area",222000,CITED,13.298
SYNTHETIC,191,5,"Assembly electricity [SYNTHETIC]",29.7,"kWh factory electricity",445,CITED,13.216
SYNTHETIC,191,6,"Packaging (cardboard) [SYNTHETIC]",0.95,"kg packaging material",1199.73,CITED,1.14
SYNTHETIC,191,7,"International shipping (sea, container) [SYNTHETIC]",78.1,"tonne-km",16.12,CITED,1.259
SYNTHETIC,191,8,"Use-phase electricity [SYNTHETIC]",115,"kWh lifetime electricity",445,CITED,51.175
SYNTHETIC,191,9,"Repair (replacement battery) [SYNTHETIC]",0.0704,"kWh replacement-battery capacity",74000,CITED,5.21
SYNTHETIC,191,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.07,"kg mass processed",-1170.4,CITED,-2.423
SYNTHETIC,192,1,"Aluminium casing [SYNTHETIC]",1.199,"kg aluminium",14800,CITED,17.745
SYNTHETIC,192,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.336,"kg populated board",185714,DERIVED_FROM_CITED,62.4
SYNTHETIC,192,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0573,"kWh cell capacity",74000,CITED,4.24
SYNTHETIC,192,4,"Screen (LCD module) [SYNTHETIC]",0.0603,"m2 panel area",222000,CITED,13.387
SYNTHETIC,192,5,"Assembly electricity [SYNTHETIC]",35.7,"kWh factory electricity",445,CITED,15.887
SYNTHETIC,192,6,"Packaging (cardboard) [SYNTHETIC]",0.97,"kg packaging material",1199.73,CITED,1.164
SYNTHETIC,192,7,"International shipping (sea, container) [SYNTHETIC]",66.3,"tonne-km",16.12,CITED,1.069
SYNTHETIC,192,8,"Use-phase electricity [SYNTHETIC]",254,"kWh lifetime electricity",445,CITED,113.03
SYNTHETIC,192,9,"Repair (replacement battery) [SYNTHETIC]",0.0464,"kWh replacement-battery capacity",74000,CITED,3.434
SYNTHETIC,192,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.04,"kg mass processed",-1170.4,CITED,-2.388
SYNTHETIC,193,1,"Aluminium casing [SYNTHETIC]",1.204,"kg aluminium",14800,CITED,17.819
SYNTHETIC,193,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.44,"kg populated board",185714,DERIVED_FROM_CITED,81.714
SYNTHETIC,193,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0594,"kWh cell capacity",74000,CITED,4.396
SYNTHETIC,193,4,"Screen (LCD module) [SYNTHETIC]",0.0595,"m2 panel area",222000,CITED,13.209
SYNTHETIC,193,5,"Assembly electricity [SYNTHETIC]",36,"kWh factory electricity",445,CITED,16.02
SYNTHETIC,193,6,"Packaging (cardboard) [SYNTHETIC]",0.92,"kg packaging material",1199.73,CITED,1.104
SYNTHETIC,193,7,"International shipping (sea, container) [SYNTHETIC]",77.2,"tonne-km",16.12,CITED,1.244
SYNTHETIC,193,8,"Use-phase electricity [SYNTHETIC]",162,"kWh lifetime electricity",445,CITED,72.09
SYNTHETIC,193,9,"Repair (replacement battery) [SYNTHETIC]",0.056,"kWh replacement-battery capacity",74000,CITED,4.144
SYNTHETIC,193,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.24,"kg mass processed",-1170.4,CITED,-2.622
SYNTHETIC,194,1,"Aluminium casing [SYNTHETIC]",1.094,"kg aluminium",14800,CITED,16.191
SYNTHETIC,194,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.379,"kg populated board",185714,DERIVED_FROM_CITED,70.386
SYNTHETIC,194,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0558,"kWh cell capacity",74000,CITED,4.129
SYNTHETIC,194,4,"Screen (LCD module) [SYNTHETIC]",0.0558,"m2 panel area",222000,CITED,12.388
SYNTHETIC,194,5,"Assembly electricity [SYNTHETIC]",26.3,"kWh factory electricity",445,CITED,11.704
SYNTHETIC,194,6,"Packaging (cardboard) [SYNTHETIC]",0.93,"kg packaging material",1199.73,CITED,1.116
SYNTHETIC,194,7,"International shipping (sea, container) [SYNTHETIC]",58.9,"tonne-km",16.12,CITED,0.949
